url,name,description,tags,accepted_groups
https://getinvolved.tamu.edu/org/acf,acf,"ACF is a campus ministry for students, by students, fueled by our love for God and for each other. We strive to provide a ""home away from home"" where students can share their faith, make lasting friendships, and develop a deeper relationship and love for God.","Adventist, campus ministries, Christian fellowship, religious","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Faculty/Staff, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/aata,aata,"The purpose of this organization shall be to broaden the student athletic trainers knowledge, to identify job opportunities, to encourage the education of the general public concerning athletic training, and to serve as a community service.","athletic trainers, community service, education, job opportunities",
https://getinvolved.tamu.edu/org/aggieballetco,aggieballetco,"Aggie Ballet Company is the premier Texas A&M student-run ballet company that performs classical ballet, modern, and contemporary dance. Our organization provides weekly ballet and pointe classes with student-teachers or local professionals, along with occasional master classes. ABC's annual spring show embraces a wide variety of works, including pieces choreographed by our very own members. Our organization has continued to gain talented dancers and rising choreographers by creating a supportive atmosphere to further students' dance eduction.","ballet, choreography, dance, performances","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/aggieambassadors,aggieambassadors,The Mission of Aggie Ambassadors is to extend a warm Aggie welcome to the rising M1 class at Texas A&M University College of Medicine and to support them throughout their transition to medical school.,"medical school, student support, transition support",
https://getinvolved.tamu.edu/org/aais,aais,"To further the understanding and advancement of artificial intelligence and its sub-fields, as well as provide a community of support for those students interested in artificial intelligence.","artificial intelligence, student support",Undergraduate Students
https://getinvolved.tamu.edu/org/aegsa,aegsa,"1. Enrich the graduate experience for graduate students in the Aerospace Engineering department 2. Act as liaisons between the graduate student body within the Aerospace Engineering department and the department itself, College of Engineering, and University. 3. Provide a platform for graduate students to interact with each other and organize year-round social and academic activities. 4. Organize and participate in outreach activities within the community, department, and University.","academic activities, aerospace engineering, engineering, outreach activities, social activities",
https://getinvolved.tamu.edu/org/aggie-angels,aggie-angels,Aggie Angels is a support group for the TAMU basketball teams. On game days we sit together as a group and cheer on our fellow Aggies. We create a social environment that promotes a close sisterhood among our members.,"basketball, sisterhood, social, support group","Undergraduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/achievemates,achievemates,"Aggie ACHIEVEMates seeks to support students enrolled in the Aggie ACHIEVE (Academic Courses in Higher Inclusive Education and Vocational Experiences) program, a four-year inclusive higher education opportunity for young adults with intellectual and developmental disabilities. Aggie ACHIEVEMates helps students accomplish the goals of the program and build relationships with them through individualized support and mentorship.","disabilities, higher education, inclusive, mentorship, vocational experiences","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/a-line,a-line,"We strive to enkindle the human spirit through self-expression and embolden all to excel beyond social norms. Self expression can be seen in many forms. Whether it's in writing an article, capturing a photo, filming a video or creating a graphic design, we encourage our staff and readers to challenge themselves creatively and freely express their original ideas. The A-Line team is made up of a community of collaborators, working to produce weekly content for our site and social media, as well as a semesterly print issue. We hope our content makes you feel inspired to pursue what sets your soul on fire. Let's get to creating.","collaboration, content creation, creativity, graphic design, photography, publishing, self-expression, social media, videography, writing","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aawe,aawe,"To support and encourage women at the Texas A&M Department of Aerospace Engineering through social, professional, and academic events, as well as to build a social community in the aerospace department.","academic activities, aerospace engineering, professional events, social, social events, support","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/aggie-babes,aggie-babes,"As BABES, we aim to create a tight-knit sisterhood for students from all different walks of life. Through this, we endeavor to allow our members to make life-long lasting friends, while giving back to our Aggie Community and bonding. When you're an Aggie Babe, you're making friends for life, whether it be through studying, completing service, or lots of socializing. Since Babes are the Best At Being Excellent, we strive for excellence in every area of our lives-- friendships, personal and professional development, outreach, and personal goals-- and try to convey the Aggie core values in everything we do.","community building, community interaction, community involvement, community service, Compassion, excellence, friendships, sisterhood, social, studying, women empowerment","Undergraduate Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/advertising,advertising,To provide and promote a better understanding of the functions of advertising; to encourage advertising professionalism through advertising education; to develop the individual abilities of its members; and to promote fellowship and free exchange of ideas.,"advertising, fellowship, idea exchange","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/aae,aae,We are an award-winning organization whose goal is to prepare members for the world of education and make meaningful connections with other Aggie educators. We have various speakers ranging from current student teachers to professionals in the field of education to provide up-to-date knowledge. We create social events to build bonds and service opportunities to work with the community. Aggie Aspiring Educators is affiliated with the organization Texas State Teacher Association (TSTA).,"child education, community involvement, education, educators, professional speakers, student teachers, teachings","Undergraduate Students, Professional Students, Graduate Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/africanstudents,africanstudents,"The purposes of the association are as follows:1) To foster a greater understanding and unity among students from all African countries attending Texas A&M University (TAMU) regardless of race, color, religious affiliation, sex, sexual orientation, age, national origin, or handicaps.2) To promote, encourage and support academic, athletic, cultural, and social activities, and encourage participation in said activities.3) To stimulate interaction among African students, students of TAMU, and society at large.4) To welcome and assist incoming African students to TAMU in cooperation with the office of International Students Services.","academic activities, African students, cultural activities, international students, social activities, student interaction, student support, student unity, transition support",
https://getinvolved.tamu.edu/org/acdc,acdc,"The purpose of the ACDC is to give dental students the opportunity and resources to learn, explore, promote awareness, and network within the field of aesthetic and cosmetic dentistry.",,"Professional Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/121,121,"Our purpose is to facilitate adaptive sports as a healthy form of recreation to students, veterans, and community members in an effort to promote the physical and mental benefits that adaptive sports possess. We strive to bring veterans, students, and community members disabled and able-bodied, together that will promote a sense of community between individuals in different circumstances with differing levels of ability. The officers of Aggie Adaptive Sports: desire to encourage and motivate others who have a disability to have the courage to be persistent, tenacious, and to step out of your “comfort zone” and try something new because we all have something unique to bring to an organization. Our motto: We Adapt, We Overcome, and We Conquer ","accessibility, disabilities, recreation, veterans","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/aaa,aaa,Our mission is to create a community at Texas A&M for students interested in accounting. We will seek to foster relationships between our members and equip them with the knowledge and skills to be better prepared for a career in accounting.,"accounting, career path exploration, career preparation, community building, employment opportunities, growth opportunities, professional networking, service opportunities, student connection","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/aaar,aaar,AAAR SC-TAMU aims to connect and serve intellectual interests of students pursuing aerosol research. It will also serve as a platform to communicate interdisciplinary scientific advances done in the field of aerosol research.,"interdisciplinary, student chapters","Undergraduate Students, Graduate Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/theaggiearthouse,theaggiearthouse,"We are a film society founded on the TAMU Campus. Our mission is to organize screenings of foreign, independent, and classic cinema and market the events to the greater student body of Texas A&M to bring together an inclusive and diverse community of movie lovers. In doing so, we hope to broaden viewers' perspectives and encourage conversation amongst peers through exposing them to wide variety of eras, countries, languages, cultures, genres and attitudes right on our own campus.","campus activities, cinema, collaboration, content creation, cultural appreciation, event planning, films, intellectual interests, media studies, pop culture, promoting art, student media",Undergraduate Students
https://getinvolved.tamu.edu/org/aggiebarbequeclub,aggiebarbequeclub,The Aggie Barbeque Club seeks to act as a medium in which members of the A&M community come together to cultivate and embrace the culture of Texas barbeque.,"barbeque, meal-preparation","Undergraduate Students, Professional Students, Graduate Students, Part-Time Students"
https://getinvolved.tamu.edu/org/acpc,acpc,"Aggie Competitive Programming Club serves the student body of Texas A&M by providing members with the opportunity to learn, practice, and teach others competitive programming techniques and algorithmic problem-solving skills. The organization fosters a drive for healthy competition and a love for learning among its members.","algorithms, competition, computer programming, learning, problem solving, teachings",
https://getinvolved.tamu.edu/org/aggiecamping,aggiecamping,"""To enrich the lives of students through shared experiences in nature. Aggie Camping strives to create a supportive environment for students to join together and experience friendship and the outdoors. We bring together a strong group of like-minded and environmentally conscious individuals. We promote conservation and sustainability for the environment.""","camping, conservation, environment, friendships, nature, outdoors, sustainability","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aggieblossoms,aggieblossoms,"Our mission as an organization consists of building strong women through the promotion of our five pillars: Leadership, Sisterhood, Scholarship, Personal Development, and Philanthropy. We provide a comfortable and open environment for each woman to thrive as a leader, creating long lasting bonds through fun and social events. Each member of Aggie Blossoms must exhibit our five pillars as well as the Texas A&M Core Values on an every day basis.","leadership, personal development, philanthropy, scholarships, sisterhood",
https://getinvolved.tamu.edu/org/blacksmithing,blacksmithing,"Our mission is to practice and educate individuals in the field of blacksmithing and metalworking. We aim to teach individuals to safely and effectively learn the art of blacksmithing. Aggie Blacksmithing hosts workshops and provides space and resources for students to practice working with metal, as well as ample opportunities to network within the blacksmithing community and attend numerous blacksmithing-related events. We welcome students of any experience level. Please visitAggie Blacksmithingor emailcontact@aggieblacksmithing.orgfor any further questions.","Aggie Blacksmithing, contact@aggieblacksmithing.org, blacksmithing, metalworking, professional networking, workshops","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/afc,afc,"Aggie Fish Club is an organization dedicated to the involvement of freshmen in Texas A&M University. Through weekly meetings, influential speakers, committee projects, Buddy Huddle activities, and leadership retreats, the freshmen are provided opportunities to grow as individuals, students, and Aggie leaders. Aggie Fish Club serves as a support system to the freshmen and encourages development through positive reinforcement, mentors, and friendship. A.F.C. also focuses on the importance of Texas A&M history and tradition, while giving freshmen the opportunity to experience the Aggie Spirit.","Aggie traditions, freshmen, leadership, mentorship, personal development, speakers, student involvement, support",
https://getinvolved.tamu.edu/org/aggiecodingclub,aggiecodingclub,"The Aggie Coding Club exists to help members build skills and find opportunities in the computer science industry through company talks and recruiting opportunities, workshops, member-led student projects, and organization socials. To join Aggie Coding Club, join our Discord or follow the Instagram.","computer engineering, computer programming, computer science, engineering, guest speakers, recruiting opportunities, social, student projects, workshops","Undergraduate Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/aep,aep,"To provide a unit for Eagle Scout, Gold Award, Quartermaster, and Summit recipients in the Corps of Cadets to continue the development of character and leadership skills learned leading to the previously mentioned awards.","character development, Corps of Cadets, leadership, scouting, skill development",Undergraduate Students
https://getinvolved.tamu.edu/org/2965,2965,"To inspire and empower women in business at Texas A&M through a foundation of sisterhood, philanthropy, and business professionalism. We are dedicated to fostering meaningful relationships and giving back to our community through monthly volunteer sessions at Aggieland Humane Society and partaking in social events. We believe building a supportive network where members can thrive as leaders and changemakers can create a lasting impact on the world around us",,"Undergraduate Students, Part-Time Students"
https://getinvolved.tamu.edu/org/afiso,afiso,"To spread knowledge to those with an interest in Forensic Science. This organization will provide hands-on experiences in an effort to create a better understanding of Forensic Science in all fields through guest speakers, involved activities, and the creation of connections with those in the industry.","forensic science, guest speakers, hands-on experience, industry connections, investigative science","Undergraduate Students, Graduate Students, Part-Time Students"
https://getinvolved.tamu.edu/org/ace,ace,"Aggie Club of Engineers is a social, service, and leadership organization strongly rooted in academics. ACE is based on the premise that bringing together student leaders from all levels and disciplines of Engineering will promote success. It is founded on the Ideal that engineers should not only develop strongly in academics but also be of strong character. The purpose of Aggie Club of Engineers shall be to develop our members as successful Aggies and leaders through a primary emphasis on academic success and character development while also improving Aggieland through focuses on service.","academics, character development, engineering, leadership, service, social",
https://getinvolved.tamu.edu/org/acc,acc,"To promote and encourage the understanding and playing of the sport of cricket in Texas A&M, thereby adding to the international diversity of the Aggies. To bring together all cricket enthusiasts in the university through the club and encourage them to bond over the sport. To ensure that all cricket matches organized by and within the Club are conducted in accordance with the Laws of Cricket and that the traditions and spirit of the sport are upheld by all Members. To work towards our final goal of making Cricket a recognized and popular sport at Texas A&M, and forming competitive cricket teams that regularly play other inter-university matches and tournaments.","cricket, diversity, sports","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aggieclassics,aggieclassics,"Aggie Classics seek to provide a comforting and welcoming environment to develop well-rounded women equipped to make an impact at Texas A&M and beyond. We will accomplish this through our four pillars of community, philanthropy, integrity and sisterhood.","philanthropy, sisterhood","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/ae,ae,"Whether you’re a startup looking to scale, a vendor seeking opportunities to sell on campus, or a student interested in developing their ideas, Aggie Entrepreneurs is dedicated to advancing Aggie-owned ventures.","campus opportunities, entrepreneurship, startups, ventures","Undergraduate Students, Professional Students, Graduate Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/aggie-blades,aggie-blades,Aggie Blades aims to train students in the sport of axe throwing to expand the current community into Texas A&M University. Our goal is to engage more people in this rising sport while creating a new outlet for students.,"axe throwing, sports","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aggieemeralds,aggieemeralds,"Aggie Emeralds seek to serve our campus and outside communities while also bringing together women of all different backgrounds. Emeralds consist of inspiring, passionate and motivated women, and we pride ourselves on upholding our four core values: sisterhood, integrity, empowerment, and compassion.","campus communities, Compassion, empowerment, integrity, sisterhood","Undergraduate Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/aggieecoreps,aggieecoreps,"-The Marketing and Communications committeehandles the social media and the website for the Aggie Eco-Reps. They also photograph and video events to produce Instagram Reels and YouTube videos about sustainability! -The Campus Events committeeplans all of the events that the Aggie Eco-Reps participate in. The Campus Events Team also run the Sustainable Swap Store! -The Fundraising committeeplans events to raise money for the Aggie Eco-Reps and manages our finances. Succulent Sales, the Fun-Run, and Profit Shares are all due to their hard work! -The Education Committeeserves as the outreach arm for the Aggie Eco-Reps, providing sustainable programs to residence halls and organizations! *All-most executive leaders must live on campus.","activism, campus involvement, civic leaders, education, educational, environmental education, environmental programs, environmental science, environmental sector, environmental service, global leadership, innovative leadership, leadership, leadership development, on-campus residents, resident representation, servant leadership, social, social action, social activities, social events, social programming, social programs, student activities, student affairs, student connection, student development, student empowerment, student interaction, student interests, student involvement, student life, student media, student opinion, student projects, student recruitment, student representation, student resources, student services, student voices, sustainability, sustainable change, sustainable food, team environment, values-based leadership","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/2872,2872,"The Aggie Engineering Medicine Association (AEMA) aims to create a supportive network of peers and resources for students pursuing a unique career path: combining engineering and medicine. Through social, professional, and academic events, we empower students to thrive in this challenging yet rewarding field.",,"Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aggiefrenchclub,aggiefrenchclub,"The Aggie French Club aims to promote French Culture and language at Texas A&M University. From giving members opportunities to socialize and become involved in various activities related to French culture, to fostering new and exciting international relationships, the AFC intrigues the outward-looking mind. As a an organization, the AFC creates opportunities for any Texas A&M students to interact with students in the field French studies, language, and culture and regroup around a common interest. Further, the facilitation of linguistic and cultural exchange and appreciation via the club association is tantamount to the club's goals. Each meeting and event hosted by the club provides a forum devoted to speaking and learning the French language as well as proctoring intercultural exchange and the promotion of a greater appreciation for the French language and culture.","cultural exchanges, French, international friendships, languages","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aggieboxing,aggieboxing,"The Aggie Boxing Club cultivates strength, discipline, and camaraderie within the Texas A&M community through the art and sport of boxing. We provide a platform for members of all skill levels to develop their physical and mental fortitude, fostering personal growth and sportsmanship through training, competition, and community engagement, while upholding the Aggie spirit of selfless service.","boxing, community engagement, competition, mental fortitude, personal growth, physical fitness, sports, sportsmanship","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/adsc,adsc,"The Aggie Data Science Club (ADSC) is a student-run organization at Texas A&M University where students of any major can grow their skills and passion in data science and machine learning. Our community fosters students to engage in discussions, share ideas, and build connections through networking. Learn valuable skills in data science and machine learning to start applying them to projects, interview prep, and professional experiences!  Want some experience outside of class? Apply what you know to data projects to show off in your resume while mastering or learning new skills! From data cleaning to presentations of findings, ADSC explores the full project life cycle.  Come hear from industry and academic professionals about how companies, such as American Airlines and General Motors, and A&M researchers use data in their work!  Get to know your fellow data enthusiasts in fun events hosted by us and make friends across many different majors at A&M!  Wish there were more events? OurADSSis a great way to further connect with other members and have more opportunities in professional discussions and events not covered in general meetings. This includes even more socials for building stronger relationships!","ADSS, data science, machine learning, professional networking, projects, skill development, social, workshops","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students, Faculty/Staff, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/aggiebusinesskings,aggiebusinesskings,"We strive to develop young men into experienced business professionals and leaders by participating in team-building activities, attending business events, and sharing valuable connections within our organization. We aim to make a positive impact in the community, connect with like-minded individuals, and foster a brotherhood that can help shape the future leaders of life after our time at Texas A&M University. *OPEN TO ALL MAJORS*","business, community involvement, entrepreneurship, professional development, professional networking, team building","Undergraduate Students, Graduate Students, Blinn Team Students, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/afwa,afwa,"Our mission is to elevate women's role in finance by empowering women to become future leaders through networking, leadership, and skill development opportunities.","finance, leadership, professional networking, skill development",Undergraduate Students
https://getinvolved.tamu.edu/org/2878,2878,"Our mission is to foster climbing accessibility and expand our reach within the community by providing a welcoming and supportive environment for climbers of all skill levels. We aim to promote a culture of safety, inclusivity, and responsible climbing practices. Our vision is to create a thriving climbing community where every member feels empowered to explore and challenge themselves, both physically and mentally. We aspire to be recognized as leaders in promoting outdoor recreation and environmental stewardship. Our values are rooted in respect, integrity, and collaboration. We believe in fostering a sense of camaraderie among our members while prioritizing safety, environmental sustainability, and personal growth.",,"Undergraduate Students, Professional Students, Graduate Students, Part-Time Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/abb,abb,"Being a premier professional men's organization on campus, we strive to introduce a passion for professionalism that will lead members to successful career opportunities. We will place an emphasis on brotherhood and unity in order to create a culture of integrity and excellence by bringing together members with a shared love for our university and our core values. *OPEN TO ALL MAJORS*","brotherhood, business, career opportunities, professionalism","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/ahls,ahls,To bring awareness of Health Law to the student body.,,Professional Students
https://getinvolved.tamu.edu/org/muster,muster,"Muster is one of the oldest traditions at A&M, serving to honor members of the Aggie Family that have passed in the previous year. Muster is celebrated on April 21st in more than two hundred places world-wide, with the largest ceremony on the Texas A&M campus in College Station. The Muster Committee is responsible for organizing and planning every aspect of the tradition, from speaker to barbecue, awareness to the roll call, this committee continues the livelihood of this great tradition year after year.","Aggie traditions, awareness, planning","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/amtc,amtc,"The purpose of the Aggie Musical Theater Club is to perform and host musical theater productions with an all-student cast, crew, and orchestra.","acting, music, orchestra, performing arts, theatre","Undergraduate Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/aic,aic,*To teach students how to think about investing *To equip members with the tools and knowledge to grow their wealth independently *To prepare students for a career in a high-finance role *To create a community for students to build life-long relationships,"career preparation, finance, financial education, investing, wealth management",
https://getinvolved.tamu.edu/org/aggie-keys,aggie-keys,"To build a strong empowered sisterhood of unique, well-rounded women that are a representation of compassion, integrity, professionalism, and service.","empowerment, integrity, philanthropy, professionalism, service, sisterhood, social","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
